search_id,trip_index,received_date,received_ms,departure_odate,departure_ms,return_odate,return_ms,major_carrier_id,highest_cabin_class
f079363a-b281-3476-b13e-d96ba6a8ad8a,11,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,AM,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,15,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,17,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,19,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,29,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,31,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,35,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,55,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,67,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,76,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,UA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,114,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,AA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,115,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,AA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,139,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,NK,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,151,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,AA,E
f079363a-b281-3476-b13e-d96ba6a8ad8a,156,4/21/16,1.46E+12,6/2/16,1.46E+12,6/6/16,1.47E+12,AA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,61,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,UA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,65,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,AA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,73,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,AA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,78,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,AA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,80,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,AA,E
8bcf9295-e2e4-3a67-8630-fb009784e725,87,4/21/16,1.46E+12,5/12/16,1.46E+12,5/16/16,1.46E+12,AA,E
1d4c9674-9cae-3173-94c0-9239321af1ce,3,4/21/16,1.46E+12,1/18/17,1.48E+12,1/25/17,1.49E+12,AC,E
1d4c9674-9cae-3173-94c0-9239321af1ce,17,4/21/16,1.46E+12,1/18/17,1.48E+12,1/25/17,1.49E+12,AA,E
